,smiles,dipole
0,CC1CC(=O)C12OC2C,3.6104
1,CC1NC(=N)C12OC2C,4.068
2,CC1NC(=O)C12OC2C,4.4362
3,CC1OC(=N)C12OC2C,3.3667
4,CC1OC(=O)C12OC2C,4.6268
5,CC1OC12C(=O)CC2O,3.7191
6,CN1CC(=O)C12CC2O,2.5512
7,O=CCNC(=O)C=O,1.4014
8,N=C(N)C1OCCO1,3.1613
9,C1C2OCC23COC13,1.0889
10,CC12C3CC4C3C1C42,0.1727
11,CC12C3C4CN1C4C32,1.4556
12,CC12C3OC4C3C1C42,1.7497
13,CC12C3C4CC1N4C32,1.9172
14,CC12C3CN4C3C1C42,1.769
15,CC12C3CC4C3C1N42,1.6768
16,CC12C3CC4C3N1C42,1.8016
17,CC12C3OC4C3N1C42,0.3206
18,OC12C3CC4C3C1C42,1.2415
19,OC12C3OC4C3C1C42,0.88
20,OC12C3C4CC1N4C32,2.5256
21,OC12C3CN4C3C1C42,1.2069
22,N=C1C2OC3CN1C32,2.9047
23,O=C1C2CC3CC1C32,3.1605
24,O=C1C2CC3CC1N32,2.682
25,O=C1C2CC3CN1C32,4.0337
26,O=C1C2CC3OC1C32,3.462
27,O=C1C2CN3CC1C23,1.6036
28,O=C1C2NC3CN1C32,4.6226
29,O=C1C2OC3CN1C32,3.7133
30,CC1C2CC3CC1C32,0.1779
31,CC1C2CC3CC1N32,1.7666
32,CC1C2CC3OC1C32,1.6964
33,CC1C2OC3CN1C32,0.4991
34,CN1C2CN3CC1C23,1.1558
35,OC1C2CC3CC1C32,1.6485
36,OC1C2CC3CC1N32,1.7886
37,OC1C2CC3OC1C32,2.2292
38,OC1C2CN3CC1C23,2.396
39,C1=CC2CC3C1CC23,0.2501
40,C1=CC2CC3C1CN23,1.3574
41,C1=CC2OC3C1CC23,1.6121
42,C1=CC2NC3C1NC23,1.5593
43,C1=CC2OC3C1NC23,1.4918
44,C1=CC2OC3C1OC23,0.1865
45,C1CN2CC3C2CN13,0.0571
46,C1CC2CC3C1CC23,0.0341
47,C1CC2OC3C1CC23,1.5736
